GovEntityID,Entity_Name,ParentEntityName,YEAR,Population,Tot_Rev,Police_Exp,Health_Exp,Housing_Exp,Tot_Exp,Tot_Exp2
485,Iron Junction,Saint Louis,2018,88,35865,,,,38677,64454
486,Ironton,Crow Wing,2018,572,1163534,86733,0,0,1117624,1131103
487,Isanti,Isanti,2018,6031,5154690,1195400,0,0,4645357,6176413
488,Isle,Mille Lacs,2018,779,1270506,412433,0,0,1576812,2398162
489,Ivanhoe,Lincoln,2018,546,727504,74939,0,0,596511,715129
490,Jackson,Jackson,2018,3407,3783046,685879,0,0,2975093,3742002
491,Janesville,Waseca,2018,2322,2444755,472323,0,0,1462700,4531971
492,Jasper,Pipestone,2018,595,713580,35904,0,0,472623,702021
493,Jeffers,Cottonwood,2018,349,389133,0,0,0,242002,304004
494,Jenkins,Crow Wing,2018,457,327903,41200,,,272041,378126
495,Johnson,Big Stone,2018,27,17581,145,,,20392,20392
496,Jordan,Scott,2018,6155,6277644,1221739,0,0,3974131,8729379
497,Kandiyohi,Kandiyohi,2018,477,520664,,,,305523,379205
498,Karlstad,Kittson,2018,753,862343,0,68672,0,669986,1341106
499,Kasota,Le Sueur,2018,679,518179,34820,0,0,363253,508236
500,Kasson,Dodge,2018,6504,5539517,1131016,,,3873065,8544802
501,Keewatin,Itasca,2018,1033,1129255,382115,0,0,1170191,1230824
502,Kelliher,Beltrami,2018,259,507834,0,0,0,281863,769679
503,Kellogg,Wabasha,2018,450,582439,40967,0,0,310939,615365
504,Kennedy,Kittson,2018,165,212761,0,0,0,201421,236172
505,Kenneth,Rock,2018,61,37564,2555,,,33164,33164
506,Kensington,Douglas,2018,287,223513,,,,136835,157090
507,Kent,Wilkin,2018,71,38809,,,,25223,25223
508,Kenyon,Goodhue,2018,1836,1848104,374986,0,19327,1588246,1998415
509,Kerkhoven,Swift,2018,742,879671,35000,,,562065,1205056
510,Kerrick,Pine,2018,64,70330,,,,51300,53779
511,Kettle River,Carlton,2018,173,197446,,,,144603,223153
512,Kiester,Faribault,2018,473,606100,12000,,,423931,651677
513,Kilkenny,Le Sueur,2018,136,193827,0,0,0,168357,200180
514,Kimball,Stearns,2018,795,1254042,281585,0,0,838434,1240660
515,Kinbrae,Nobles,2018,16,11829,0,0,0,8673,8673
516,Kingston,Meeker,2018,155,52635,,,,34163,34163
517,Kinney,Saint Louis,2018,159,397219,3178,0,0,300716,352716
518,La Crescent,Houston,2018,5169,5600839,944541,0,42056,3733466,7198531
519,La Prairie,Itasca,2018,652,410203,,,,332436,332436
520,La Salle,Watonwan,2018,92,231043,0,0,0,166209,172176
521,Lafayette,Nicollet,2018,484,539861,,,,302274,563611
522,Lake Benton,Lincoln,2018,672,701563,142800,0,0,650312,876567
523,Lake Bronson,Kittson,2018,215,237812,,,,185000,222788
524,Lake City,Wabasha,2018,5179,6532249,1336074,0,0,5415532,7351689
525,Lake Crystal,Blue Earth,2018,2545,2732564,301434,0,0,2115156,3238753
526,Lake Elmo,Washington,2018,10521,8270340,667109,0,0,4369288,10327199
527,Lake Henry,Stearns,2018,100,234780,207,0,0,107947,610902
